Unnamed: 0,collectionsURL,unitCode,EDANurl,title,creditLine,date,identifier,name,notes,objectType,physicalDescription,materials,main_material,place,publisher,topic,indexed_dates,indexed_names,indexed_object_types,indexed_places,indexed_topics,mediaCount,mediaURLs,thumbnail,object_types_list,object_types_norm,object_types_str,canonical_type,action_family,multi_action
368,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.2,NPM,edanmdm:npm_2025.2004.2,Westminster Journal and London Political Miscellany newspaper,,"{""Date"": ""November 12, 1774""}","{""Object number"": ""2025.2004.2""}",,"{""Description"": ""The Westminster Journal and London Political Miscellany newspaper issue number 1568, dated November 12, 1774, is on a singled folded sheet of paper.""}","{""Type"": ""Covers & Associated Letters""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width (unfolded): 17 \u00d7 23 1/4 in. (43.18 \u00d7 59.06 cm)""}",paper,paper,"{""Place"": ""GREAT BRITAIN""}",,,,,"[""Correspondence"", ""Covers & letters""]","[""GREAT BRITAIN""]",,2,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_2_a"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_2_b""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_2_a/full/250,/0/default.jpg","['Correspondence', 'Covers & letters']","['correspondence', 'covers & letters']","['correspondence', 'covers & letters']",newspapers,"Read, write & record",False
369,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.19,NPM,edanmdm:npm_2025.2004.19,"George III ""composite die"" 6-shilling embossed revenue stamp",,"{""Date"": ""1792""}","{""Object number"": ""2025.2004.19""}",,"{""Description"": ""An embossed revenue stamp impressed on dark blue paper glued and stapled to the beige paper. The back of the staple is covered with a cypher bearing the Coat of Arms of George III.""}","{""Type"": ""Archival Material""}","{""Medium"": ""Paper (blue on beige); metal (lead); ink; pencil / handwritten"", ""Dimensions"": ""Height x Width: 2 1/2 \u00d7 1 3/4 in. (6.35 \u00d7 4.45 cm)""}","metal, paper","metal, paper","{""Place"": ""GREAT BRITAIN""}",,,"[""1790s""]",,"[""Archival materials""]","[""GREAT BRITAIN""]",,2,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_19_a"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_19_b""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_19_a/full/250,/0/default.jpg",['Archival materials'],['archival materials'],['archival materials'],archival materials,"Read, write & record",False
370,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.18,NPM,edanmdm:npm_2025.2004.18,Philadelphia from New Orleans folded letter,,"{""Date"": ""July 20, 1810""}","{""Object number"": ""2025.2004.18""}",,"{""Description"": ""A folded letter from New Orleans, postmarked July 21 to \""Mr. William Hunter / north Seventh St / Philadelphia.\"" Written on July 20, 1810 to William Hunter's wife, Martha.""}","{""Type"": ""Covers & Associated Letters""}","{""Medium"": ""Paper; ink (black; brown)"", ""Dimensions"": ""Height x Width: 3 1/8 \u00d7 5 1/8 in. (7.94 \u00d7 13.02 cm)""}",paper,paper,"{""Place of Origin"": ""Louisiana"", ""Place of Destination"": ""Pennsylvania"", ""Place"": ""United States of America""}",,,"[""1810s""]",,"[""Correspondence"", ""Covers & letters""]","[""United States of America"", ""Louisiana"", ""Pennsylvania""]",,7,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_18_c"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_18_d"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_18_e"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_18_f"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_18_g"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_18_h"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_18_i""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_18_c/full/250,/0/default.jpg","['Correspondence', 'Covers & letters']","['correspondence', 'covers & letters']","['correspondence', 'covers & letters']",correspondences,"Read, write & record",False
371,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.17,NPM,edanmdm:npm_2025.2004.17,York to Saco levying of fine for post road in despair letter,,"{""Date"": ""June 8, 1804""}","{""Object number"": ""2025.2004.17""}",,"{""Description"": ""A folded letter from York to Selectmen of Saco on June 8, 1804""}","{""Type"": ""Covers & Associated Letters""}","{""Medium"": ""Paper; ink (black)"", ""Dimensions"": ""Height x Width: 2 5/8 \u00d7 4 1/8 in. (6.67 \u00d7 10.48 cm)""}",paper,paper,"{""Place of Destination"": ""Maine"", ""Place"": ""United States of America""}",,,"[""1800s""]",,"[""Correspondence"", ""Covers & letters""]","[""Maine"", ""United States of America""]",,4,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_17_c"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_17_d"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_17_e"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_17_f""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_17_c/full/250,/0/default.jpg","['Correspondence', 'Covers & letters']","['correspondence', 'covers & letters']","['correspondence', 'covers & letters']",correspondences,"Read, write & record",False
372,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.16,NPM,edanmdm:npm_2025.2004.16,Mail carrier document for Falmouth to Portsmouth,,"{""Date"": ""1780""}","{""Object number"": ""2025.2004.16""}",,"{""Description"": ""Mail carrier document for Falmouth MA [ME] to Portsmouth NH for Joseph Barnard and Sam Freeman""}","{""Type"": ""Archival Material""}","{""Medium"": ""Paper; ink (black)"", ""Dimensions"": ""Height x Width: 9 \u00d7 7 1/4 in. (22.86 \u00d7 18.42 cm)""}",paper,paper,"{""Place"": ""Maine\nUnited States of America"", ""Place of Destination"": ""New Hampshire""}",,,"[""1780s""]",,"[""Archival materials""]","[""Maine"", ""United States of America"", ""New Hampshire""]",,2,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_16_b"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_16_c""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_16_b/full/250,/0/default.jpg",['Archival materials'],['archival materials'],['archival materials'],archival materials,"Read, write & record",False
376,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.12,NPM,edanmdm:npm_2025.2004.12,Letter from James Imbrie to Charles Potter,,"{""Date"": ""1814""}","{""Object number"": ""2025.2004.12""}",,"{""Description"": ""Folded letter from James Imbrie to Charles Potter, 1814""}","{""Type"": ""Covers & Associated Letters""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width (Unfolded): 9 3/4 \u00d7 15 in. (24.77 \u00d7 38.1 cm) Height x Width (Folded): 3 \u00d7 5 in. (7.62 \u00d7 12.7 cm)""}",paper,paper,"{""Place"": ""Rhode Island\nUnited States of America""}",,,"[""1810s""]",,"[""Correspondence"", ""Covers & letters""]","[""Rhode Island"", ""United States of America""]",,6,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_12_b"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_12_c"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_12_d"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_12_e"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_12_f"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_12_g""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_12_b/full/250,/0/default.jpg","['Correspondence', 'Covers & letters']","['correspondence', 'covers & letters']","['correspondence', 'covers & letters']",correspondences,"Read, write & record",False
377,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.10,NPM,edanmdm:npm_2025.2004.10,Receipt for postage paid,,"{""Date"": ""November 5, 1813""}","{""Object number"": ""2025.2004.10""}",,"{""Description"": ""The brief document begins, \u201cRec[eive]d Nov[embe]r 5th 1813 of Leopold Notnagl,\"" and is signed in the lower right corner \""Jos Clunn\"" by Joseph Clunn (1743-1816), who had served as postmaster of Bristol, Bucks County, PA, from January 29, 1790 to June 30, 1802. The receipt is for $19.25 paid \""in full for Letters and News Papers to July 15, 1813.\"" This record shows the settlement of the postal account for the estate of merchant Leopold Nottnagel (1754-1812). There is no record in the museum's collection for postage debts Nottnagel may have had with Clunn's predecessor John G. Priestley, who was postmaster in 1813. The reverse side has calculations that do not seem to relate to the $19.25 total, but noted on the opposite end of the paper is: \""for Clunn Receipts / for Postage & Letters. / to July 15, 1813.\""""}","{""Type"": ""Mail Processing Equipment""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width: 2 1/4 \u00d7 5 5/8 in. (5.72 \u00d7 14.29 cm)""}",paper,paper,"{""Place"": ""New Hampshire\nUnited States of America""}",,,"[""1810s""]",,"[""Mail Processing Equipment""]","[""United States of America"", ""New Hampshire""]",,2,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_10_b"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_10_c""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_10_b/full/250,/0/default.jpg",['Mail Processing Equipment'],['mail processing equipment'],['mail processing equipment'],mail processing equipments,"Read, write & record",False
378,https://collections.si.edu/search/detail/edanmdm:npm_2025.2004.1,NPM,edanmdm:npm_2025.2004.1,Pennsylvania Packet and the General Advertiser newspaper,,"{""Date"": ""1772""}","{""Object number"": ""2025.2004.1""}",,"{""Description"": ""1772 issue of the Pennsylvania Packet and the General Advertiser, a Philadelphia, PA, newspaper was printed by John Dunlap starting in 1771. This sheet appears to be partial and may date to February or March (further research is needed, but advertisements and articles refer to late February).\nA notice is half-way down the first column of the side with the printer's name at the bottom:\n\""General Post-Office, New-York, Nov. 1, 1771.\nNOTICE is hereby given, that on account of the new regulation of the post from Canada, which is to arrive every Tuesday evening at this office ; and the weekly post from the eastward and southward, arriving every Wednesday ; the mail going from hence by the Packets, will for the future, be closed at twelve o'clock at night, on the first Wednesday in every month (being the same time it closes at the General Post-Office in London, for America) and a Packet dispatched therewith the next day, for Falmouth.\nBy command of the Deputy Post Master General,\nALEXANDER COLDEN, Sec'ry.\""""}","{""Type"": ""Covers & Associated Letters""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width: 16 \u00d7 10 1/4 in. (40.64 \u00d7 26.04 cm)""}",paper,paper,"{""Place"": ""Pennsylvania\nUnited States of America""}",,"{""Topic"": ""New Acquisitions\nCovers & Letters""}",,,"[""Correspondence"", ""Covers & letters""]","[""United States of America"", ""Pennsylvania""]","[""Covers & Letters"", ""New Acquisitions""]",3,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_1_a"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_1_b"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2025_2004_1_c""]","https://ids.si.edu/ids/iiif/NPM-2025_2004_1_a/full/250,/0/default.jpg","['Correspondence', 'Covers & letters']","['correspondence', 'covers & letters']","['correspondence', 'covers & letters']",newspapers,"Read, write & record",False
379,https://collections.si.edu/search/detail/edanmdm:npm_2024.2009.4,NPM,edanmdm:npm_2024.2009.4,New York to Albany folded letter,,"{""Date"": ""April 1815""}","{""Object number"": ""2024.2009.4""}",,"{""Description"": ""New York to Albany folded letter, April 1815. Exhibits the short-lived War of 1812 rate for ship letter delivered at the port (6 cents plus 50% war tax = 9\ncents). Payment of the ship letter rate indicates carriage by Robert Fulton\u2019s North\nRiver steamboat line up the Hudson River""}","{""Type"": ""Covers & Associated Letters""}","{""Medium"": ""paper; ink""}",paper,paper,"{""Place of Destination"": ""New York"", ""Place of Origin"": ""New York"", ""Place"": ""United States of America""}",,,"[""1810s""]",,"[""Correspondence"", ""Covers & letters""]","[""New York"", ""United States of America""]",,6,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2024_2009_4_a"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2024_2009_4_b"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2024_2009_4_c"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2024_2009_4_e"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2024_2009_4_f"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2024_2009_4_d""]","https://ids.si.edu/ids/iiif/NPM-2024_2009_4_a/full/250,/0/default.jpg","['Correspondence', 'Covers & letters']","['correspondence', 'covers & letters']","['correspondence', 'covers & letters']",correspondences,"Read, write & record",False
380,https://collections.si.edu/search/detail/edanmdm:npm_2024.2009.3,NPM,edanmdm:npm_2024.2009.3,New York to Philadelphia incoming ship letter,,"{""Date"": ""1745""}","{""Object number"": ""2024.2009.3""}",,"{""Description"": ""New York incoming ship letter to Philadelphia, 1745. Exhibits postage\nrate and ship fee in pennyweights and grains of silver. The addressee, Israel\nPemberton, was a Quaker merchant and this letter exhibits Quaker dating in the docketing.""}","{""Type"": ""Covers & Associated Letters""}","{""Medium"": ""paper; ink"", ""Dimensions"": ""Height x Width (folded): 2 7/8 \u00d7 3 3/4 in. (7.3 \u00d7 9.53 cm) Height x Width (unfolded): 6 3/8 \u00d7 7 7/8 in. (16.19 \u00d7 20 cm)""}",paper,paper,"{""Place of Origin"": ""New York"", ""Place of Destination"": ""Pennsylvania"", ""Place"": ""United States of America""}",,,"[""1810s"", ""1740s""]",,"[""Correspondence"", ""Covers & letters""]","[""New York"", ""United States of America"", ""Pennsylvania""]",,4,"[""https://ids.si.edu/ids/deliveryService?id=NPM-2024_2009_3_a"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2024_2009_3_b"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2024_2009_3_c"", ""https://ids.si.edu/ids/deliveryService?id=NPM-2024_2009_3_d""]","https://ids.si.edu/ids/iiif/NPM-2024_2009_3_a/full/250,/0/default.jpg","['Correspondence', 'Covers & letters']","['correspondence', 'covers & letters']","['correspondence', 'covers & letters']",correspondences,"Read, write & record",False
