EDANurl,object_types_str,canonical_type_auto,action_family_auto,canonical_type_manual,action_family_manual
edanmdm:nmah_494283,['license plate'],license plates,"Eat, cook & drink",license plates,Other
edanmdm:nmah_471208,"['scabbard, bayonet', 'scabbard; edged weapons; militia?', 'scabbards']","scabbard, bayonets",Fight,bayonets,Fight
edanmdm:nmah_469474,"['shotgun, flintlock', 'shotgun', 'shotgun; firearms; flintlock; 24 ga; smooth bore; muzzle load; sa']","shotgun, flintlocks",Fight,flintlocks,Fight
edanmdm:nmah_469453,"['launcher, grenade', 'launcher, grenade; firearms; flintlock; 2.20 in; smooth bore; muzzle load; sa']","launcher, grenades",Fight,grenade launchers,Fight
edanmdm:nmah_469442,"['shotgun, flintlock', 'shotgun', 'shotgun; firearms; flintlock; 18 ga; smooth bore; muzzle load; sa; p']","shotgun, flintlocks",Fight,flintlocks,Fight
edanmdm:nmah_469439,"['musket, flintlock', 'fussil; firearms; flintlock; .69 in; smooth bore; muzzle load; sa', 'fussil']","musket, flintlocks",Fight,flintlocks,Fight
edanmdm:nmah_438504,"['saber, dragoon', 'saber; saber, dragoon; edged weapons; army; dragoon']","saber, dragoons",Fight,sabers,Fight
edanmdm:nmah_433461,"['flag, fragment of', 'flag, fragment of; military; army; rgt, 9 virginia continental']","flag, fragment of",Commemorate & symbolize,flags,Commemorate & symbolize
edanmdm:nmah_432701,"['certificate, discharge']","certificate, discharges","Read, write & record",certificates,"Read, write & record"
edanmdm:nmah_417564,"['musket, flintlock', 'fussil', 'fussil; firearms; flintlock; .67 in; smooth bore; muzzle load; sa']","musket, flintlocks",Fight,flintlocks,Fight
edanmdm:nmah_417484,"['shotgun, flintlock', 'shotgun', 'shotgun; firearms; flintlock; .60 in; smooth bore; muzzle load; sa']","shotgun, flintlocks",Fight,flintlocks,Fight
edanmdm:nmah_414375,"['gun; firearms; miquelet; .69 in; smooth bore; muzzle load; sa; p', 'firearms', 'musket, miquelet lock']",gun,Fight,muskets,Fight
edanmdm:nmah_371896,"['perfume bottle', 'cosmetics', 'accessories for the care of the person', 'perfume bottle; accessories for care of the person']",perfume bottles,"Eat, cook & drink",perfume bottles,Other
edanmdm:nmah_371659,"['fabric; accessories for the manufacturing of clothing', 'cloth']",fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_371653,"['fabric; accessories for the manufacturing of clothing', 'cloth']",fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_371652,"['fabric; accessories for the manufacturing of clothing', 'cloth']",fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_371638,"['fabric pieces; accessories for the manufacturing of clothing', 'fabric pieces']",fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_371637,"['fabric; accessories for the manufacturing of clothing', 'cloth']",fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_363175,"['fabric; accessories for the manufacturing of clothing', 'cloth']",fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_359746,"['fabric; accessories for the manufacturing of clothing', 'cloth']",fabric fragments,Other,fabric fragments,Textile making
edanmdm:nmah_335046,"['shotgun, flintlock', 'fowler', 'fowler; firearms; flintlock; .50 in; smooth bore; ml; sa']","shotgun, flintlocks",Fight,flintlocks,Fight
edanmdm:nmah_318664,"['oven, dutch']","oven, dutches","Eat, cook & drink",dutch ovens,"Eat, cook & drink"
edanmdm:nmah_318663,"['oven, dutch']","oven, dutches","Eat, cook & drink",dutch ovens,"Eat, cook & drink"
edanmdm:nmah_317973,"['fire steel; fire making apparatus', 'firesteel']",fire steel,Ignite & manage fire,firesteels,Ignite & manage fire
edanmdm:nmah_317971,"['fire steel; fire making apparatus', 'firesteel']",fire steel,Ignite & manage fire,firesteels,Ignite & manage fire
edanmdm:nmah_317970,"['fire steel; fire making apparatus', 'firesteel']",fire steel,Ignite & manage fire,firesteels,Ignite & manage fire
edanmdm:nmah_317967,"['cutter, straw', 'fire steel; fire making apparatus']",fire steel,Ignite & manage fire,firesteels,Ignite & manage fire
edanmdm:nmah_317965,"['fire steel; fire making apparatus', 'firesteel']",fire steel,Ignite & manage fire,firesteels,Ignite & manage fire
