,count,count
174,"['crosses (visual works)', 'cross; historical']",5
175,"['mezzotints (prints)', 'print, mezzotint']",5
176,"['note', 'bank note', 'bank note; 1777 06 08']",5
177,"['mirror; furniture', 'mirrors']",5
178,['candles'],5
179,"['bayonets', 'bayonet, socket']",5
180,['mail processing equipment'],5
181,"['chemise, shift', 'chemise, shift; entire body; underwear; female']",5
182,"['aprons (main garments)', 'apron; accessories worn on the body; female']",5
183,"['lace (needlework)', 'lace, border, fragment']",5
184,['surveying instruments'],5
185,"['dresses (garments)', 'dress, 2 piece; entire body; main dress; female']",5
186,['chess sets'],5
187,['tankard'],5
188,"['note', 'bank note; 1780 06 01', 'bank note']",5
189,"['medals', 'tokens']",5
190,['sundial'],5
191,"['chair, side']",5
192,['knives'],5
193,"['note', 'bank note; 1780 06 28', 'bank note']",5
194,['mortars (grinding tools)'],5
195,"['print, fashion plate']",5
196,"['print; intaglio; stipple', 'engravings (prints)', 'prints']",5
197,"['flag; flags; military; army; streamer; campaign', 'flags']",5
198,['sector'],4
199,['flags'],4
200,"['chair, side', 'chair; furniture; side']",4
201,['bells (idiophones)'],4
202,['dippers (serving utensils)'],4
203,"['etchings (prints)', 'aquatints', 'prints']",4
204,['beakers (vessels)'],4
205,"['box, snuff; smoking equipment', 'box, snuff']",4
206,['coverlet fragment'],4
207,"['stays; upper body; underwear; female', 'stays']",4
208,['teakettles'],4
209,['tax stamps'],4
210,"['shoes, pair of; footwear; accessories worn on the body; child', 'shoes (footwear)']",4
211,"['sheet (paper); manuscript', 'receipt']",4
212,"['pistols', 'pistol, flintlock', 'pistol; firearms; navy; flintlock; .69 in; smooth bore; muzzle load; sa']",4
213,['manuscripts'],4
214,"['reliefs (sculpture)', 'pamphlets', 'prints', 'print; letterpress']",4
215,['wood block'],4
216,"['flatware', 'ladles']",4
217,"['iron, waffle']",4
218,['tureens'],4
219,['engravings (prints)'],4
220,"['note', 'bank note; 1773 10 01', 'bank note']",4
221,"['waistcoats (garments)', 'upper body', 'main garments', 'male']",4
222,['waistcoats (garments)'],4
223,"['buckles, shoe, pair of', 'buckles, shoe, pair of; jewelry; accessories worn on the body; male']",4
224,"['muskets', 'musket, flintlock']",4
225,"['box, snuff; smoking equipment', 'box, tobacco']",4
226,"['engravings (prints)', 'prints', 'intaglio printing']",4
227,['snuffbox'],4
228,"['note', 'bank note', 'bank note; 1781 03 01']",4
229,['tinderbox'],4
230,['cases (containers)'],4
231,['cups'],4
232,"['newspapers', 'print; letterpress']",4
233,['coffeepots'],4
