,count,count
673,"['note', 'bill of exchange', 'note; 178? 00 00']",1
674,['instrument case'],1
675,"['notice', 'documents']",1
676,['chalices'],1
677,"['box, tobacco', 'box, tobacco']",1
678,"['table; furniture; tilt top', 'tables (support furniture)']",1
679,"['chair, side', 'chair; furniture; side; ladder back']",1
680,"['chair; furniture; arm', 'chair, corner']",1
681,"['note', 'colonial', 'bank note; colonial; 1773 06 01']",1
682,"['note', 'bank note; 1777 05 20', 'bank note']",1
683,"['paintings', 'painting; pictures; watercolor; mourning']",1
684,"['note', 'bank note; 1776 11 02', 'bank note']",1
685,"['cutter, quill pen']",1
686,"['bedwarmer', 'bed warmer']",1
687,"['painting; portraits', 'drawings']",1
688,"['paintings', 'painting; pictures; watercolor; landscape']",1
689,"['paintings', 'painting; pictures; oil on canvas; 392,912; portrait']",1
690,"['paintings', 'painting; pictures; oil on canvas; 59.316; portrait']",1
691,"['note', 'bank note', 'bank note; 1776 07 22']",1
692,"['note', 'bank note; 1776 05 09', 'bank note']",1
693,"['paintings', 'painting; pictures']",1
694,"['clock, tall; furniture', 'clocks']",1
695,"['chest, blanket', 'chest; furniture', 'chests']",1
696,"['chair, wing', 'chair; furniture; arm']",1
697,"['canister, tea', 'canisters']",1
698,"[""cradles (children's beds)"", 'cradle; doll furnishings; toys']",1
699,"['holder, cigar', 'holder, cigar; smoking equipment']",1
700,"['balances (scales)', 'beam balance']",1
701,"['harp, jaw', 'pattern tree']",1
702,"['mold, button']",1
703,"['uncut sheet', 'note', 'bank note; 1777 10 11', 'bank note']",1
704,"['box, alms']",1
705,"['chair; furniture; arm; rocking; windsor?', 'chair, rocking']",1
706,"['toasters (cooking and heating devices)', 'roasters (cookware)']",1
707,"['burner, sulfur']",1
708,['unidentified'],1
709,"['paddle, butter']",1
710,['masticator'],1
711,"['chair; furniture; side; rocking; ladder back', 'chair, rocking']",1
712,"['painting; pictures; reverse on glass; portrait', 'painting, glass transfer']",1
713,"['grater, potato; kitchen utensils', 'graters']",1
714,"['note', 'bank note', 'bank note; 1780 06 01']",1
715,"['spigot', 'spigot; kitchen utensils']",1
716,"['dipper, well']",1
717,"['case, cigar holder', 'case, pipe; smoking equipment']",1
718,"['certificates', 'certificate; signature']",1
719,"['case, pipe; smoking equipment', 'case, holder, cigar']",1
720,"['box snuff; smoking equipment', 'box snuff', 'box, snuff', 'miniature, portrait']",1
721,"['box, snuff; smoking equipment', 'boxes (containers)']",1
722,"['order', 'order']",1
723,"['medal; indian peace, washington; indian peace medal', 'medals']",1
724,['churns'],1
725,"['painting; pictures; oil on board; portrait', 'paintings']",1
726,"['cutter, cookie']",1
727,"['andirons', 'andiron', 'andirons']",1
728,"['dipper, snuff']",1
729,"['medal; personal; commemorative; comitia americana', 'medals']",1
730,['retort'],1
731,"['dippers (serving utensils)', 'cup, drinking']",1
732,"['sofa', 'sofa; doll house furnishings; toys']",1
733,"['tinder box; fire making apparatus', 'box, tinder']",1
734,"[""cradles (children's beds)"", 'cradle; furniture']",1
735,"['reamer, lemon', 'lemon reamer; kitchen utensils']",1
736,"['rolling pin; kitchen utensils', 'pin, rolling']",1
737,"['masher, potato', 'potato masher; kitchen utensils']",1
738,"['pestle; kitchen utensils', 'pestles']",1
739,"['cork driver; kitchen utensils', 'corker, bottle']",1
740,"['bedstead', 'bedstead; furniture; cradle']",1
741,"[""chair, child's"", 'chair; furniture; child']",1
742,"['continental currency', 'note', 'continental currency; bank note; 1775 05 10', 'bank note', 'continental currency']",1
743,"['plate, door']",1
744,"['lighting devices', 'chandelier, candle', 'candleholder; lighting devices; socket; ceiling; hanging; chandelier', 'candleholders']",1
745,"['bank note; 1776 02 17', 'note']",1
746,"['chair; furniture; side; windsor', 'chair, side', 'chairs (furniture forms)']",1
747,"['chair, arm', 'chair; arm; windsor']",1
748,"['chair; furniture; arm; rocking; ladder back', 'chairs (furniture forms)', 'chair, rocking']",1
749,"['tinder pistol; fire making apparatus', 'tinderbox', 'tinderbox, pistol']",1
750,"['note', 'bank note; 1776 01 01', 'bank note']",1
751,"['flatware', 'skewers']",1
752,"['note', 'bank note', 'bank note; 1775 12 07']",1
753,"['note', 'bank note', 'bank note; 1776 03 05']",1
754,"['note', 'bank note', 'bank note; 1775 09 02']",1
755,"['note', 'bank note', 'bank note; 1771 02 16']",1
756,"['note', 'bank note', 'bank note; 1776 03 25']",1
757,"['doll, woman']",1
758,"['note', 'bank note; 1779 00 00', 'bank note']",1
759,"['box, wall']",1
760,"['note', 'paper money', 'bank note', 'bank note; 1776 10 18']",1
761,"['box, dough', 'dough trough table']",1
762,"['table, small']",1
763,['armchairs'],1
764,['cupboards'],1
765,"['tubs (containers)', '<measuring device classification>']",1
766,"['rack, hanging']",1
767,"['tongs, hearth', 'tongs, fire']",1
768,"['dish, soap']",1
769,"['note', 'bank note', 'bank note; 1776 08 13']",1
770,['casters (vessels)'],1
771,"['flatware', 'sipper']",1
772,"['note', 'bank note; 1780 05 10', 'bank note']",1
773,"['note', 'bank note', 'bank note; 1779 05 15']",1
774,"['note', 'bank note; 1778 08 08', 'bank note']",1
775,"['knife, serving', 'knives', 'flatware']",1
776,"['teaspoo', 'flatware']",1
777,"['flatware', 'medallions (medals)']",1
778,['dresses (garments)'],1
779,"['holder, cigar', 'fragments, pipe', 'holder, cigar; smoking equipment']",1
780,['pap boat'],1
781,"['note', 'paper money', 'bank note', 'bank note; 1771 12 00']",1
782,"['glass, soda']",1
783,"['bowl, covered']",1
784,"['candlesticks, portable', 'candleholders']",1
785,"['andiron', 'andiron']",1
786,"['fork, hearth']",1
787,"['nippers, sugar']",1
788,"['note', 'bank note; 1777 00 00', 'bank note']",1
789,"['double fireplace, delaware log house', 'log house']",1
790,"['mixer, drink, bow drill']",1
791,"['pin, rolling']",1
792,"['holder, whetstone']",1
793,"['stick, toddy', 'stick, swizzle']",1
794,"['cutter, cake']",1
795,['lamps (lighting devices)'],1
796,"['bed warmer', 'bed warmer']",1
797,"['lighter; fire making apparatus', 'lighter']",1
798,"['curfew', 'tinderbox', 'curfew; tinder box; fire making apparatus']",1
799,"['painting; pictures; watercolor; portrait', 'drawing, watercolor', 'drawings']",1
800,"['painting; pictures; watercolor', 'drawing, watercolor', 'drawings']",1
801,"['slant front desk and bookcase', 'desks']",1
802,['tables (support furniture)'],1
803,"['bowl, porringer']",1
804,"['note', 'bank note', 'bank note; 1777 09 10']",1
805,"['spoons', 'cutlery']",1
806,"['stick, mixing']",1
807,['powder horns'],1
808,"['note', 'bank note', 'bank note; 1776 08 14']",1
809,"['lamps (lighting devices)', 'lighting devices', '<lamps by fuel>', 'lamp; lighting devices; whale oil']",1
810,"['masher, potato']",1
811,"['paddle, stirring']",1
812,['mallets (tools)'],1
813,"['strainers (culinary tools)', 'skimmers (culinary tools)']",1
814,['paddles (watercraft equipment)'],1
815,"['stove; heating equipment', 'stoves (heating equipment)']",1
816,"['note', 'bank note; 1777 03 01', 'bank note']",1
817,"['chest of drawers', 'chests']",1
818,"['chairs (furniture forms)', 'armchairs']",1
819,['shears (cutting tools)'],1
820,"['bags', 'bags (containers)', 'accessories carried', 'pocket book']",1
821,"['case, pipe']",1
822,"['box, tobacco; smoking equipment', 'box, tobacco']",1
823,"['fusil', 'musket, flintlock']",1
824,"['bank note', 'bank note; 1791 12 03']",1
825,"['tractors', 'therapeutic device, fraudulent']",1
826,"['insignias', 'insignia; insignia; army; epaulette; officer']",1
827,"['medal; medalet; presidential', 'medalet', 'medals']",1
828,['hanging balance (beam)'],1
829,"['medicine chest; medicine case', 'medicine case', 'medicine chest']",1
830,"['counterpanes', 'quilted counterpane; counterpane; household textile', 'quilts']",1
831,['plate impression for paper currency'],1
832,"['cup, two handled']",1
833,"['horn (animal material)', 'horn; general collection']",1
834,"['finial, altar screen']",1
835,"['etchings (prints)', 'maps', 'prints']",1
836,['nipple shield'],1
837,"['bloodletting', 'lancet, set', 'lancet, set', 'lancet, set; bloodletting instruments; thumb']",1
838,"['book; relief', 'books']",1
839,"['wheel cutting engine, clockmaking']",1
840,"['pamphlet; relief', 'pamphlets']",1
841,"['warmer, food', 'warmer, foot']",1
842,"['console; wall consoles, batch of two; furnishings', 'wall consoles, batch of two', 'console']",1
843,['journals (accounts)'],1
844,['console'],1
845,"['cases (containers)', 'case; surgical set']",1
846,"['manuscript; documents', 'manuscripts']",1
847,"['obsolete paper money', 'paper money']",1
848,"[""field hand's call""]",1
849,"['slave leg irons', 'irons, leg']",1
850,"['document, broadside']",1
851,"['sundial, quadrant']",1
852,"['langrage', 'langrage?; underwater']",1
853,"['spectacles; vision aids', 'spectacles']",1
854,['handkerchiefs'],1
855,"['planisphere', 'maps']",1
856,"[""cradles (children's beds)""]",1
857,"['card, prayer']",1
858,"['chair, side', 'pa side chair', 'chairs (furniture forms)']",1
859,"['case; bloodletting instruments; spring lancet', 'bloodletting', 'spring lancet, bloodletting', 'lancet, set', 'cases (containers)']",1
860,"['chair, side', 'chairs (furniture forms)']",1
861,"['button', 'button; u.s. navy; officer; dress']",1
862,"['sheet; photomechanical lithography', 'sheet']",1
863,['musical glasses'],1
864,['hurdy gurdy'],1
865,['tabernacle'],1
866,['lectern'],1
867,"['note', 'paper money', 'bank note', 'bank note; 1777 06 08']",1
868,"['hats', 'hat; headwear; accessories worn on the body; woman; 1920 00 00+, 1925 00 00']",1
869,"['clock, wall, factory']",1
870,"['newspapers', 'advertisement, william bond watches']",1
871,"['sheet (paper)', 'sheet; engraving', 'sheet']",1
872,['prisms'],1
873,['optical flat'],1
874,['eyecup'],1
875,['camera lucida'],1
876,['syringe'],1
877,"['medicine chest', 'medical chest']",1
878,"['reliefs (sculpture)', 'pamphlets']",1
879,"['reliefs (sculpture)', 'books', 'prints', 'print; letterpress']",1
880,"['orrery   tellurian', 'orreries']",1
881,"['bells, goat, pair of']",1
882,"['lamp, hanging']",1
883,"['caps (headgear)', 'cap; headwear; accessories worn on the body; woman; 1800 00 00+, 1809 00 00']",1
884,['cope'],1
885,['needleholder pincushion'],1
886,['vests (garments)'],1
887,['suspenders (garment supports)'],1
888,['thermal cycler'],1
889,['trousers'],1
890,['nautical compass (tell tale)'],1
891,"['maritime; navigation', 'octant']",1
892,['reflecting circle'],1
893,"['newspapers', 'newspaper; letterpress']",1
894,"['rifle; firearms; percussion fire; .52', 'rifles (long guns)', 'rifle, flintlock']",1
895,"['saber; edged weapons', 'saber']",1
896,"['portraits', 'watercolors (paintings)']",1
897,['postcards'],1
898,"['chair, side', 'chair; chair, arm; furnishings', 'chair, arm', 'chairs (furniture forms)']",1
899,"['neckwear', 'caps (headgear)']",1
900,"['coins (money)', 'planchet']",1
901,"['bandages, lint', 'medicine chest', 'medicine chest']",1
902,"['picture, embroidered']",1
903,"['props', 'neckcloth']",1
904,"['side saddle, equestrian', 'saddle, side']",1
905,"['mould, lead and slug', 'type mould, lead and slug', 'mold, lead and slug']",1
906,"['archival materials', 'maps']",1
907,['clock movement in wooden case'],1
908,"['musket, flintock', 'muskets', 'musket; firearms; caliber .69; flintlock']",1
909,"['musket; firearms; caliber .78; center fire', 'muskets', 'musket, flintlock']",1
910,"['pistols', 'pistol, flintlock', 'pistol; firearms; caliber .64; center fire']",1
911,"['pistol; firearms; caliber .69; center fire', 'pistols', 'pistol, flintlock']",1
912,"['trepanning set', 'surgical set', 'trepanning set; surgical set; trepanning', 'trephination set']",1
913,"['surgical set', 'trephanation set', 'surgical set; surgical set; trepanning', 'surgical set']",1
914,['tablecloths'],1
915,"['musket; firearms; .78 caliber; flintlock', 'musket; firearms; flintlock; .82 in; smooth bore; muzzle load; sa', 'muskets']",1
916,['sculpture fragment'],1
917,"['panel, religious']",1
918,"['legging, lower']",1
919,['transportation equipment & models'],1
920,['stockings'],1
921,"['iron (metal)', 'wafer iron, religious']",1
922,"['reaper cutter', 'model, cutter for reaper']",1
923,"['sheets (paper), set of; paper, sheet; manuscript', 'documents', 'paper, sheet']",1
924,"['ticket, lottery']",1
925,"['decorative arts', 'crafts (art genres)']",1
926,"['etching on heavy commercially made laid paper', 'prints']",1
927,"['printed on chine colle', 'prints']",1
928,"['photogravures (prints)', 'prints']",1
929,"['still lifes', 'sheet music', 'decorative arts']",1
930,"['medal engraving', 'prints']",1
931,"['still lifes', 'decorative arts']",1
932,"['engraving & etching', 'prints']",1
933,"['shift', 'props']",1
934,"['shortgown', 'props']",1
935,"['aprons (main garments)', 'props']",1
936,"['hoop', 'props']",1
937,"['bustles', 'props']",1
938,"['statuette, religious']",1
939,"['pipe, tobacco']",1
940,"['quilt; household textile', 'quilts']",1
941,"['1 dollar', 'coins (money)']",1
942,"['carding machine, part']",1
943,"['mirrors', 'decorative arts']",1
944,"['wrought iron bridge spike', 'wrought iron bridge spikes']",1
945,"['quilts', 'quilt; household textile']",1
946,"['posters', 'poster; art graphics; marines']",1
947,"['sampler; ca 1805', 'samplers (embroidery)']",1
948,"['mitten; clothing; early 19th century', 'mittens (handwear)']",1
949,"['coins (money)', 'coin; hispanic collection']",1
950,"['fabric length, plate printed', 'fabric, printed, copperplate']",1
951,"['coins (money)', 'galvano', 'tokens']",1
952,"['medal; personal; commemorative', 'medallions (medals)']",1
953,"['lancet; bloodletting instruments; spring', 'lancet', 'spring lancet', 'bloodletting', 'spring lancet, set']",1
954,"['medal; commemorative; personal; trial', 'medals']",1
955,"['silk, embroidery', 'pictures (object genre)']",1
956,"['coins (money)', 'trial']",1
957,"['scarificator', 'bloodletting', 'scarificator']",1
958,['purses (bags)'],1
959,['terrestrial globe'],1
960,"['watch, pocket']",1
961,['celestial globe'],1
962,"['tall case clock, rittenhouse', 'tall clock, rittenhouse', 'clocks']",1
963,"['globe, celestial, french, 18th c']",1
964,"['sampler; 18th century 3rd qtr', 'samplers (embroidery)']",1
965,"['stamp, butter', 'mold, butter, stamp']",1
966,"['sheet music', 'prints']",1
967,"['frame, butter mold']",1
968,"['mold, cookie', 'mold, cookie']",1
969,"['mold, sugar']",1
970,"['molds (shaping tools)', 'mold, butter cheese, part of']",1
971,"[""feather money, o'o bird; oceania; polynesia, hawaiian islands"", 'alternative currency', ""feather money, o'o bird""]",1
972,"['mold, cookie', 'board, cookie']",1
973,"['stirrup, equestrian']",1
974,['periodicals'],1
975,"['carbines', 'burnside percussion rifle carbine', 'carbine, percussion', 'burnside percussion rifle carbine; carbine; firearms; percussion fire; .54 in; rifled; 09; 03']",1
976,['orrery   tellurian'],1
977,['spurs (costume accessories)'],1
978,"['window, stained glass', 'windows']",1
979,['thermometers'],1
980,"['paperweight, footed', 'paperweights']",1
981,"['sundial', 'sundial']",1
982,"['bowl, punch']",1
983,"['insurance policy, fly']",1
984,['combs (hair ornaments)'],1
985,['veils (headcloths)'],1
986,"['bank note; 1862 12 02', 'bank note']",1
987,"['iron, branding', 'branding iron']",1
988,"['bank note', 'bank note; 1808 04 11']",1
989,"['bank note; 1806 01 06', 'bank note']",1
990,"['check', 'manuscripts']",1
991,"['bank note; 1802 07 23', 'bank note']",1
992,"['watch, ladies', 'watch, ladies, swiss']",1
993,"['pot, chocolate']",1
994,"['chocolate pot and cover', 'pot, chocolate']",1
995,['sticker'],1
996,"['hatchet, small hand']",1
997,"['clock, shelf', 'clocks']",1
998,"['section, water main']",1
999,"['jars', 'jar, albarello', 'jar; pharmaceutical container']",1
1000,"['albarello', 'jars', 'jar; pharmaceutical container']",1
1001,"['jars', 'pharmaceutical container']",1
1002,['land deed'],1
1003,['fragrance'],1
1004,"['token; store card', 'tokens']",1
1005,"['maagazine cover', 'cartoon', 'magazine cover']",1
1006,['label'],1
1007,"['note', 'paper money', 'colonial note']",1
1008,"['finials', 'clock, tall case']",1
1009,"['clock movement, tall case']",1
1010,['dies (tools)'],1
1011,"['surgical instrument', 'hammers (tools)']",1
1012,"['pot, milk', 'jug, cream']",1
1013,"['note', 'bank note', 'bank note; 1775 08 18']",1
1014,['runic calendar'],1
1015,['pins (fasteners)'],1
1016,"['medicine', 'syrup jar', 'jars', 'jar; pharmaceutical container']",1
1017,"['food warmer', 'infant feeder']",1
1018,['jesse ramsden (portrait print)'],1
1019,"['continental currency', 'note']",1
1020,"['bank note; 1801 01 16', 'bank note']",1
1021,"['bank note; 1799 06 20', 'bank note']",1
1022,"['pipe bowl; smoking equipment', 'pipes (smoking equipment)']",1
1023,"['tool, millinery']",1
1024,"['ladle, snuff']",1
1025,"['stipple engraving', 'engraving (stipple)', 'prints', 'stipple engraving']",1
1026,"['stipple engraving', 'engravings (prints)', 'prints']",1
1027,"['engravings (prints)', 'print, engraving', 'prints']",1
1028,"['bowl, pipe', 'bowl, pipe, tobacco', 'bowl, pipe; smoking equipment']",1
1029,"['engravings (prints)', 'prints', 'engraver']",1
1030,"['bank note', 'bank note; 1795 03 25']",1
1031,"['print, line engraving', 'engravings (prints)']",1
1032,"['bank note; 1797 05 05', 'bank note']",1
1033,"['holder, cigar']",1
1034,"['spinning wheels', 'spinning wheel, flax']",1
1035,['bridge spike'],1
1036,"['knife and fork, set of; eating utensils', 'cases (containers)', 'cutlery']",1
1037,"[""weaver's pattern book""]",1
1038,"['plate, souvenir', 'plate']",1
1039,"['spoon, souvenir']",1
1040,['photographs'],1
1041,"['bank note; 1799 11 10', 'bank note']",1
1042,"['bloodletting', 'lancet, set']",1
1043,"['embroidery, lace, ecclesiatical', 'embroidery, lace, ecclesiastical, table cover', 'embroidery, lace, ecclesiastical']",1
1044,"['bank note; 1800 01 30', 'bank note']",1
1045,"['medal, political']",1
1046,"['tokens', 'medals']",1
1047,"['coins (money)', 'medals']",1
1048,"['cards (information artifacts)', 'certificates', 'certofocate', 'pledge card']",1
1049,"['bank note', 'bank note; 1791 00 00']",1
1050,"['spinning wheel, wool']",1
1051,"['knife and fork, set of; eating utensils', 'forks (flatware)', 'cutlery']",1
1052,"['pitchers (vessels)', 'jars']",1
1053,['certificates'],1
1054,['coquillage'],1
1055,"['ceramic jar', 'jar, olive, ceramic']",1
1056,"['syrup jar', 'syrup jar', 'jars']",1
1057,"['telescope', 'telescope (spyglass)']",1
1058,"['uncut sheet', 'paper money']",1
1059,"['john quincy adams', 'check']",1
1060,"['bottles', 'jar; bottle; pharmaceutical container', 'jar, apothecary']",1
1061,"['battery', 'voltaic pile']",1
1062,"['cylinder type frictional electrostatic machine', 'electrostatic generator', 'electrostatic generator component']",1
1063,"['electrostatic generator', 'revolving doubler', 'influence machine']",1
1064,['box chronometer'],1
1065,['box chronometer without case'],1
1066,['saws'],1
1067,"['etchings (prints)', 'intaglio prints', 'prints']",1
1068,"['blunderbuss', 'blunderbuss, flintlock']",1
1069,"['electrostatic generator', 'frictional cylinder electrostatic machine']",1
1070,"['photograph, black and white']",1
1071,"['bottle; jar; pharmaceutical container', 'jars']",1
1072,"['jar; pharmaceutical container; syrup', 'jars']",1
1073,['cigarette boxes'],1
1074,"['glass, soda', 'glass, soda', 'glass, soda; soda fountain; furnishings']",1
1075,"['cabinets (case furniture)', 'counter with drawers, ancient pharmacy']",1
1076,"['lamps (lighting devices)', 'oil lamps']",1
1077,"['viewer', 'glass, perspective']",1
1078,['mills (equipment)'],1
1079,"['magnifying glasses', 'microscope, hand held, set']",1
1080,['azimuth circle'],1
1081,"['vaccination card, commemorative']",1
1082,"['silver $1 coin, 1799', 'coins (money)']",1
1083,"['note', 'paper money', 'obsolete bank note']",1
1084,"['musket, percussion conversion', 'muskets']",1
1085,"['currency sheet', 'paper money']",1
1086,['tall case clock'],1
1087,"['scale, plotting', 'scale rule']",1
1088,"['bottles', 'jars']",1
1089,"['sundial, equinoctial']",1
1090,['franchise'],1
1091,"['bar shot', 'shot']",1
1092,"['intaglio prints', 'prints']",1
1093,"['bottles', 'jars', 'jar; pharmaceutical container']",1
1094,"['fabric, fragment']",1
1095,"['dress fragment', 'dress fragment']",1
1096,['lantern slide'],1
1097,"['neckwear', 'costume accessories worn']",1
1098,['counterpanes'],1
1099,"['bucket, fire', 'buckets (vessels)']",1
1100,"['bottles', 'jars', 'jar; bottle; pharmaceutical container']",1
1101,"['yardsticks', 'scrimshaw', 'swrimshaws']",1
1102,"['jar; bottle; pharmaceutical container', 'jars']",1
1103,['seam rubber'],1
1104,"['tr*335662', 'documents']",1
1105,"['hand pumper', 'model, hand pumper']",1
1106,"['syrup jar, pitcher', 'jars']",1
1107,"['flask; pharmaceutical container', 'flasks (bottles)', 'jars']",1
1108,"['plate, fire engine']",1
1109,"['fabric,fragment']",1
1110,"['collotype', 'prints']",1
1111,"['quilt, wholecloth']",1
1112,"['etchings (prints)', 'letterpress', 'prints']",1
1113,"['jars', 'bottle; jar; pharmaceutical container']",1
1114,"['jars', 'jar; bottle; pharmaceutical container']",1
1115,"['rifles (long guns)', 'rifle, flintlock']",1
1116,"['pistols', 'pistol, percussion, mutibarrel', 'pistol; firearms; flintlock; .44 in; rifled']",1
1117,"['pan, baking']",1
1118,"['bottle, scent']",1
1119,"['bottles', 'bottle, case, large']",1
1120,['muster roll'],1
1121,['firesteel'],1
1122,['lanterns (lighting devices)'],1
1123,"[""rattle, baby's""]",1
1124,['capes'],1
1125,"['bottles', 'bottle; pharmaceutical container; pharmaceutical container']",1
1126,"['needlework, embroidery']",1
1127,['telescope'],1
1128,"['print; pictures; engraving', 'prints']",1
1129,"['correspondence', 'letter; sheet (paper); manuscript']",1
1130,"['impression', 'impression; trial']",1
1131,"['caps (headgear)', 'cap; man']",1
1132,"['prints', 'print; planographic']",1
1133,"['spear head', 'spear head; edged weapons']",1
1134,"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .73 in; smooth bore; muzzle load; sa']",1
1135,"['musket; firearms; flintlock; .76 in; smooth bore; muzzle load; sa', 'muskets', 'musket, flintlock']",1
1136,"['print; intaglio; stipple', 'engravings (prints)', 'mezzotints (prints)', 'stipple', 'prints']",1
1137,"['carbine, flintlock', 'carbine; firearms; flintlock; .65 in; smooth bore; muzzle load; sa', 'carbines']",1
1138,"['musket, flintlock', 'fussil; firearms; flintlock; .69 in; smooth bore; muzzle load; sa', 'fussil']",1
1139,"['shotgun, flintlock', 'shotgun', 'shotgun; firearms; flintlock; 18 ga; smooth bore; muzzle load; sa; p']",1
1140,"['launcher, grenade', 'launcher, grenade; firearms; flintlock; 2.20 in; smooth bore; muzzle load; sa']",1
1141,"['carbine, flintlock', 'carbine; firearms; flintlock; .60 in; rifled; muzzle load; sa', 'carbines']",1
1142,"['shotgun, flintlock', 'shotgun', 'shotgun; firearms; flintlock; 24 ga; smooth bore; muzzle load; sa']",1
1143,"['rifle; firearms; flintlock; .60 in; rifled; muzzle load; sa', 'rifles (long guns)', 'rifle, flintlock']",1
1144,"['rifle; firearms; flintlock; .52 in; rifled; muzzle load; sa', 'rifles (long guns)', 'rifle, flintlock']",1
1145,"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .71 in; smooth bore; muzzle load; sa']",1
1146,"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .70 in; smooth bore; muzzle load; sa']",1
1147,"['bayonet; edged weapons; army; socket', 'bayonets', 'bayonet, socket']",1
1148,['sheets (paper)'],1
1149,"['scabbard, bayonet', 'scabbard; edged weapons; militia?', 'scabbards']",1
1150,"['grenade; ammunition, artillery; hand', 'grenades']",1
1151,"['coat; man; officer', 'coats (garments)']",1
1152,"['saddles (seats)', 'saddle; equipment, horse']",1
1153,"['flag; military; collar; rgt, ansbach bayreuth', 'flags']",1
1154,"['coats (garments)', 'coat; man; army; brigadier general; officer']",1
1155,"['saber', 'saber; edged weapons', 'saber']",1
1156,"['mace; edged weapons', 'maces']",1
1157,"['print; relief; wood cut', 'prints']",1
1158,"['cutlasses', 'cutlass; edged weapons; navy; enlisted man']",1
1159,"['flag; military', 'flags']",1
1160,"['pennants', 'guidon; flag; military; army; dragoon, light; rgt 2']",1
1161,['portraits'],1
1162,"['booklets', 'booklet; documents']",1
1163,"['documents', 'correspondence']",1
1164,"['engravings (prints)', 'prints', 'print; intaglio']",1
1165,"['streamers, set of', 'flags, set of', 'flags, set of; military; pennant']",1
1166,"[""' mezzotint"", 'print; intaglio; mezzotint', 'mezzotints (prints)', 'prints']",1
1167,"['swords', 'sword; edged weapons; navy; small']",1
1168,"['sword; edged weapons; presentation', 'swords']",1
1169,['carpet segment'],1
1170,"['note', 'note; manuscript']",1
1171,"['documents', 'signature']",1
1172,"['wood engraving', 'print; relief; wood engraving', 'prints']",1
1173,"['portable desks', 'writing box']",1
1174,"['fabric, printed']",1
1175,['newspaper clipping'],1
1176,['electoral ticket'],1
1177,['pocket compass'],1
1178,['level (wye)'],1
1179,"['compasses (direction indicators)', 'surveying instruments']",1
1180,['dispatch case'],1
1181,['bill of sale'],1
1182,"['invitation', 'invitation; manuscript, printed']",1
1183,['games'],1
1184,"[""surveyor's vernier compass"", ""surveyor's vernier compass""]",1
1185,['watch fob'],1
1186,"['print; relief; wood engraving', 'prints']",1
1187,"['pistol sword', 'pistol sword; flintlock; muzzle load; sa']",1
1188,['tumblers (drinking glasses)'],1
1189,['lancet'],1
1190,['building fragment'],1
1191,['napkins'],1
1192,"['stipple engraving', 'print; intaglio; stipple', 'prints', 'stipple engraving']",1
1193,"['engravings (prints)', 'print; intaglio; engraving', 'line engraving', 'prints']",1
1194,['bumper sticker'],1
1195,"['print; intaglio; mezzotint', 'intaglio prints', 'prints']",1
1196,"['engravings (prints)', 'print; intaglio; etching', 'prints']",1
1197,['newspaper sheet'],1
1198,"['mezzotints (prints)', 'mezzotint with etching', 'prints']",1
1199,['rugs'],1
1200,['quilt model'],1
1201,['sweat shirts'],1
1202,"['intaglio prints', 'mezzotints (prints)', 'prints']",1
1203,"['compass, pocket']",1
1204,"['shell (animal material)', 'ball, cannon', 'shell; ammunition, artillery; 3 in']",1
1205,"['axe; edged weapons; belt', 'axes (tools)']",1
1206,"[""surveyor's vernier compass""]",1
1207,"['caps (headgear)', 'cap; man; army; grenadier']",1
1208,"['cap, miter', 'cap; cap, mitre; man; m, newport light infantry', 'mitres']",1
1209,"['insignias', 'insignia; army; epaulette']",1
1210,"['flag, japanese', 'flags', 'flag; military; army']",1
1211,"['flag, fragment of', 'flag, fragment of; military; army; rgt, 9 virginia continental']",1
1212,"['bit; equipment, horse; army', 'bit']",1
1213,"['tent; equipment, individual', 'tents (portable buildings)']",1
1214,"['stools (seating furniture)', 'stool; equipment, individual']",1
1215,"['coat; man; army; general officer; officer', 'coats (garments)']",1
1216,"['swords', 'sword; edged weapons; hunting']",1
1217,"['mess kit', 'camp chest', 'mess kit; camp chest; equipment, individual']",1
1218,['sheet of paper'],1
1219,"['swords', 'sword; edged weapons; army']",1
1220,"['saber', 'swords', 'sword; edged weapons; army; officer']",1
1221,"['saber', 'saber; edged weapons; militia; small; officer', 'saber']",1
1222,"['saber; edged weapons; army; cavalry; officer', 'saber']",1
1223,"['caps (headgear)', 'cap; man; army; fusileer']",1
1224,['striker box'],1
1225,"['saber, dragoon', 'saber; saber, dragoon; edged weapons; army; dragoon']",1
1226,['pipe tamper'],1
1227,"['musket; firearms; percussion converted; .69 in; smooth bore; muzzle load; sa', 'musket, percussion conversion', 'muskets']",1
1228,"['musket, percussion conversion', 'muskets', 'musket; firearms; percussion converted; .75 in; smooth bore; muzzle load; sa']",1
1229,"['shotgun, flintlock', 'shotgun', 'shotgun; firearms; flintlock; .60 in; smooth bore; muzzle load; sa']",1
1230,"['musket, flintlock', 'fussil', 'fussil; firearms; flintlock; .67 in; smooth bore; muzzle load; sa']",1
1231,"['musket; firearms; flintlock; .82 in; smooth bore; muzzle load; sa', 'muskets', 'musket, flintlock']",1
1232,"['musket; firearms; flintlock; .78 in; smooth bore; muzzle load; sa', 'muskets']",1
1233,"['muskets', 'musket; firearms; flintlock; .69 in; smooth bore; muzzle load; sa']",1
