EDANurl,object_types_str,canonical_type_auto,action_family_auto,canonical_type_manual,action_family_manual
edanmdm:nmah_305537,"['strainers (culinary tools)', 'skimmers (culinary tools)']",skimmers,Other,skimmers,"Eat, cook & drink"
edanmdm:nmah_305360,"['worker, butter']","worker, butters",Other,"worker, butters","Eat, cook & drink"
edanmdm:nmah_304690,['skimmers (culinary tools)'],skimmers,Other,skimmers,"Eat, cook & drink"
edanmdm:nmah_304687,"['masher, potato']","masher, potatos",Other,"masher, potatos","Eat, cook & drink"
edanmdm:nmah_304107,"['pan, frying']","pan, fryings",Other,"pan, fryings","Eat, cook & drink"
edanmdm:nmah_304079,"['box, dough', 'dough trough table']","box, doughs","Contain, store & preserve","box, dough","Eat, cook & drink"
edanmdm:nmah_303997,['highchair'],highchairs,Other,highchairs,Decorate & furnish
edanmdm:nmah_303870,"['box, wall']","box, walls","Contain, store & preserve","box, walls",Other
edanmdm:nmah_303869,['highchair'],highchairs,Other,highchairs,Decorate & furnish
edanmdm:nmah_303793,['salt (inorganic material)'],salts,Other,salts,"Eat, cook & drink"
edanmdm:nmah_303792,['salt (inorganic material)'],salts,Other,salts,"Eat, cook & drink"
edanmdm:nmah_303605,['basins'],basins,Other,basins,"Eat, cook & drink"
edanmdm:nmah_303599,['saucers (plates)'],saucers,Other,saucers,"Eat, cook & drink"
edanmdm:nmah_302720,"['box, snuff']","box, snufves","Contain, store & preserve","box, snufves",Other
edanmdm:nmah_302718,['graters'],graters,Other,graters,"Eat, cook & drink"
edanmdm:nmah_301113,['funnels'],funnels,Other,funnels,"Eat, cook & drink"
edanmdm:nmah_301099,"['caddy, tea']","caddy, teas","Contain, store & preserve","caddy, teas",Other
edanmdm:nmah_301082,"['cooler, wine']","cooler, wines",Other,"cooler, wines","Eat, cook & drink"
edanmdm:nmah_301081,"['cooler, wine']","cooler, wines",Other,"cooler, wines","Eat, cook & drink"
edanmdm:nmah_300617,"['shaker', 'casters (vessels)']",casters,Other,casters,"Eat, cook & drink"
edanmdm:nmah_300558,['basins'],basins,Other,basins,"Eat, cook & drink"
edanmdm:nmah_300488,['flagon'],flagons,Other,flagons,"Eat, cook & drink"
edanmdm:nmah_300390,['flagon'],flagons,Other,flagons,"Eat, cook & drink"
edanmdm:nmah_300027,"['shaker', 'casters (vessels)']",casters,Other,casters,"Eat, cook & drink"
edanmdm:nmah_2968,"['balances (scales)', 'hand balance']",balances,Other,balances,Measure & navigate
edanmdm:nmah_2540,"['weights', 'balances (scales)', 'balance set with weights']",balances,Other,balances,Measure & navigate
edanmdm:nmah_2442,"['weights', 'weights (scale components)']",weights,Other,weights,Measure & navigate
edanmdm:nmah_2441,"['weights', 'weights (scale components)']",weights,Other,weights,Measure & navigate
edanmdm:nmah_2440,"['weights', 'weights (scale components)']",weights,Other,weights,Measure & navigate
edanmdm:nmah_1848369,['chests'],chests,"Contain, store & preserve",chests,Other
edanmdm:nmah_1822447,['vases'],vases,Other,vases,"Eat, cook & drink"
edanmdm:nmah_1803020,['oyster jar'],oyster jars,"Contain, store & preserve",oyster jars,Other
edanmdm:nmah_1802581,['cases (containers)'],cases,"Contain, store & preserve",cases,Other
edanmdm:nmah_1802518,['booklets'],booklets,Other,booklets,Perform music
edanmdm:nmah_1800324,['cases (containers)'],cases,"Contain, store & preserve",cases,Other
edanmdm:nmah_1460668,"['potsherds', 'sherds, pan, milk']",potsherds,Other,potsherds,"Eat, cook & drink"
edanmdm:nmah_1452245,"['mold, butter, handle']","mold, butter, handles",Other,"mold, butter, handles","Eat, cook & drink"
edanmdm:nmah_1452166,"['mold, butter cheese, part of']","mold, butter cheese, part oves",Other,"mold, butter cheese, part oves","Eat, cook & drink"
edanmdm:nmah_1452165,"['mold, butter cheese, part of']","mold, butter cheese, part oves",Other,"mold, butter cheese, part oves","Eat, cook & drink"
edanmdm:nmah_1450812,"['box, snuff']","box, snufves","Contain, store & preserve","box, snufves",Other
edanmdm:nmah_1449523,"['food warmer', 'infant feeder']",food warmers,Other,food warmers,"Eat, cook & drink"
edanmdm:nmah_1404173,['jars'],jars,"Contain, store & preserve",jars,Other
edanmdm:nmah_1384345,"['jar, apothecary, syrup']","jar, apothecary, syrups","Contain, store & preserve","jar, apothecary, syrups",Heal & care
edanmdm:nmah_1384344,"['jar, apothecary, syrup']","jar, apothecary, syrups","Contain, store & preserve","jar, apothecary, syrups",Heal & care
edanmdm:nmah_1380038,['jars'],jars,"Contain, store & preserve",jars,Other
edanmdm:nmah_1379778,"['jars', 'pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_1326052,"['pan, baking']","pan, bakings",Other,"pan, baking","Eat, cook & drink"
edanmdm:nmah_1277056,['box chronometer'],box chronometers,"Contain, store & preserve",box chronometers,Other
edanmdm:nmah_1219987,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_1218834,['cases (containers)'],cases,"Contain, store & preserve",cases,Other
edanmdm:nmah_1217334,"['bottle; jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_1216158,"['ceramic jar', 'jar, olive, ceramic']",ceramic jars,"Contain, store & preserve",ceramic jars,Other
edanmdm:nmah_1199181,['field telescope and case'],field telescope and cases,"Contain, store & preserve",field telescope and cases,Other
edanmdm:nmah_1191780,['cabinets (case furniture)'],cabinets,"Contain, store & preserve",cabinets,Decorate & furnish
edanmdm:nmah_1191777,"['cabinets (case furniture)', 'counter with drawers, ancient pharmacy']",cabinets,"Contain, store & preserve",cabinets,Decorate & furnish
edanmdm:nmah_1191775,['cabinets (case furniture)'],cabinets,"Contain, store & preserve",cabinets,Decorate & furnish
edanmdm:nmah_1191774,['cabinets (case furniture)'],cabinets,"Contain, store & preserve",cabinets,Decorate & furnish
edanmdm:nmah_1190334,['chests'],chests,"Contain, store & preserve",chests,Other
edanmdm:nmah_1190333,['chests'],chests,"Contain, store & preserve",chests,Other
edanmdm:nmah_1174950,['boxes (containers)'],boxes,"Contain, store & preserve",boxes,Other
edanmdm:nmah_1174767,['boxes (containers)'],boxes,"Contain, store & preserve",boxes,Other
edanmdm:nmah_1174692,['boxes (containers)'],boxes,"Contain, store & preserve",boxes,Other
edanmdm:nmah_1174687,['boxes (containers)'],boxes,"Contain, store & preserve",boxes,Other
edanmdm:nmah_1156888,"['mold, gingerbread']","mold, gingerbreads",Other,"mold, gingerbreads","Eat, cook & drink"
edanmdm:nmah_1156887,"['mold, gingerbread']","mold, gingerbreads",Other,"mold, gingerbreads","Eat, cook & drink"
edanmdm:nmah_1135811,"['medicine chest; medicine case', 'medicine case', 'medicine chest']",medicine chests,"Contain, store & preserve",medicine chests,Heal & care
edanmdm:nmah_1133694,['hanging balance (beam)'],hanging balances,Other,hanging balances,Measure & navigate
edanmdm:nmah_1129189,"['cases (containers)', 'case; surgical set']",cases,"Contain, store & preserve","case, surgical set",Heal & care
edanmdm:nmah_1122364,"['case; bloodletting instruments; spring lancet', 'bloodletting', 'spring lancet, bloodletting', 'lancet, set', 'cases (containers)']",cases,"Contain, store & preserve",bloodlettings,Heal & care
