EDANurl,object_types_str,canonical_type_auto,action_family_auto,canonical_type_manual,action_family_manual
edanmdm:nmah_994184,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994182,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994181,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994167,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994166,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994165,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994164,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994156,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994151,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994144,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994143,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994142,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994141,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994140,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994137,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994136,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994135,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994134,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994114,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_994111,"['mortar; manufacturing & dispensing equip.', 'mortars (grinding tools)']",mortars,Other,mortars,Heal & care
edanmdm:nmah_994104,"['mortar; manufacturing & dispensing equip.', 'mortars (grinding tools)']",mortars,Other,mortars,Heal & care
edanmdm:nmah_994072,"['mortar; manufacturing & dispensing equip.', 'mortars (grinding tools)']",mortars,Other,mortars,Heal & care
edanmdm:nmah_993959,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993958,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993957,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993956,"['jars', 'bottle; jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993955,"['jars', 'jar; bottle; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993954,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993953,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993952,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993951,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993943,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993938,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993922,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993827,"['bottles', 'jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993826,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993810,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993809,"['bottles', 'jars', 'jar; bottle; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993808,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993799,"['jar; bottle; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993794,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993791,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993762,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993755,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993754,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993753,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993752,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993751,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993750,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993749,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993748,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993747,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993746,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993745,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993744,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993743,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993742,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993741,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993740,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993739,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993738,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993737,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993736,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993735,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993734,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993733,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993732,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993731,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993730,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993729,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993728,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993727,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993726,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993725,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993724,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993723,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993722,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993721,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993720,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993719,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993718,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993717,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993716,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993715,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993714,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993713,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993712,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993711,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993710,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993709,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993708,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993707,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993706,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993705,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993704,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993703,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993702,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993701,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993695,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993694,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993693,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993691,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993682,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993681,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993675,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993674,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993673,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993672,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993669,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993668,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993667,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993661,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993660,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993659,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993657,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993656,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993655,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993654,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993653,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993651,['syrup jar'],syrup jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993649,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993648,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993646,"['albarello', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993642,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993640,['syrup jar'],syrup jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993636,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993635,"['jars', 'jar, albarello']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993633,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993632,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993631,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993630,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993628,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993626,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993619,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993617,"['albarello', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993616,"['albarello', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993614,"['albarello', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993611,"['jars', 'jar, albarello']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993610,"['jars', 'jar, albarello']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993608,"['albarello', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993607,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993606,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993605,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993601,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993600,"['albarello', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993599,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993598,"['albarello', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993591,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993590,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993589,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993585,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993584,"['syrup jar, pitcher', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993582,['syrup jar'],syrup jars,"Contain, store & preserve",syrup jars,Heal & care
edanmdm:nmah_993581,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993580,['syrup jar'],syrup jars,"Contain, store & preserve",syrup jars,Heal & care
edanmdm:nmah_993579,['syrup jar'],syrup jars,"Contain, store & preserve",syrup jars,Heal & care
edanmdm:nmah_993578,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993572,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993571,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993564,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993563,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993562,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993561,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993560,"['syrup jar', 'jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993559,"['syrup jar', 'jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993548,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993543,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993542,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993539,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993533,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993530,['tureens'],tureens,Other,tureens,"Eat, cook & drink"
edanmdm:nmah_993529,"['syrup jar', 'jar; pharmaceutical container']",jar; pharmaceutical containers,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993528,"['flask; pharmaceutical container', 'flasks (bottles)', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993526,['tureens'],tureens,Other,tureens,"Eat, cook & drink"
edanmdm:nmah_993525,"['medicine', 'syrup jar', 'jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993524,['syrup jar'],syrup jars,"Contain, store & preserve",syrup jars,Heal & care
edanmdm:nmah_993523,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993520,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993519,"['syrup jar', 'jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993506,"['albarello', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993502,"['syrup jar', 'jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993497,['tureens'],tureens,Other,tureens,"Eat, cook & drink"
edanmdm:nmah_993493,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993492,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993490,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993489,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993485,"['jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993484,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993482,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993469,"['syrup jar', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993468,"['pitchers (vessels)', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993466,"['jars', 'jar, albarello', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993463,"['albarello', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993457,"['flask; jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993456,"['flask; jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993455,"['flask; jar; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993452,"['albarello', 'jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993451,"['syrup jar', 'jar; pharmaceutical container']",jar; pharmaceutical containers,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993450,"['jars', 'jar; pharmaceutical container']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993449,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993448,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993447,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_993445,['jars'],jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_905174,"['photographs, set of']","photographs, set oves",Other,"photographs, set of","Portray, display & decorate"
edanmdm:nmah_905173,"['sheets, set of']","sheets, set oves",Other,"sheets, set of",Other
edanmdm:nmah_904462,"['protractor', 'protractor and parallel rule', 'protractor; semi circular, with parallel rule']",protractors,Other,protractors,Measure & navigate
edanmdm:nmah_882271,"['printing presses', 'press, printing; printing; relief; flatbed platen']",printing presses,Other,printing presses,"Read, write & record"
edanmdm:nmah_882265,['printing presses'],printing presses,Other,printing presses,"Read, write & record"
edanmdm:nmah_881578,"['vests (garments)', 'upper body', 'main garments']",main garments,Other,main garments,Dress & accessorize
edanmdm:nmah_881543,"['ecuelle', 'ecuelle stand', 'ecuelle cover', 'stand']",ecuelles,Other,ecuelles,"Eat, cook & drink"
edanmdm:nmah_881417,['field telescope and case'],field telescope and cases,"Contain, store & preserve",field telescope and cases,Other
edanmdm:nmah_881338,"['accessories for the selling of clothing', 'boxes (containers)']",boxes,"Contain, store & preserve",boxes,Other
edanmdm:nmah_875582,['ballot box'],ballot boxes,"Contain, store & preserve",ballot boxes,Other
edanmdm:nmah_875351,"['suit, 2 piece']","suit, 2 pieces",Other,"suit, 2 pieces",Dress & accessorize
edanmdm:nmah_875039,"['cutlass; edged weapons; navy', 'cutlasses']",cutlasses,Other,cutlasses,Fight
edanmdm:nmah_874576,"['jar, leech, apothecary', 'leech jar; materia medica; containers', 'leech jars']","jar, leech, apothecaries","Contain, store & preserve","jar, leech, apothecaries",Heal & care
edanmdm:nmah_874575,"['jar, leech, apothecary', 'leech jar; materia medica; containers', 'leech jars']","jar, leech, apothecaries","Contain, store & preserve","jar, leech, apothecaries",Heal & care
edanmdm:nmah_856464,['sundial'],sundials,Other,sundials,Measure & navigate
edanmdm:nmah_854085,['sundial'],sundials,Other,sundials,Measure & navigate
edanmdm:nmah_854084,['sundial'],sundials,Other,sundials,Measure & navigate
edanmdm:nmah_851206,"['chronometer', 'pocket chronometer movement & dial; chronometer; mechanical, spring driven; english chronometer movement']",chronometers,Other,chronometers,Measure & navigate
edanmdm:nmah_790656,['type case'],type cases,"Contain, store & preserve",type cases,Other
edanmdm:nmah_790652,['type case'],type cases,"Contain, store & preserve",type cases,Other
edanmdm:nmah_728391,"['vial; containers', 'vials']",vial; containers,"Contain, store & preserve",vial; containers,Other
edanmdm:nmah_720734,"['jar; pharmaceuticals; containers; pharmaceutical container', 'jars']",jars,"Contain, store & preserve","jars, pharmaceutical containers",Heal & care
edanmdm:nmah_683309,['pendants (jewelry)'],pendants,Other,pendants,Dress & accessorize
